name,country,subcountry,geonameid,timezone
Quilmes,Argentina,Buenos Aires,3429652,America/Argentina/Buenos_Aires
Puerto Rico,Argentina,Misiones,3429732,America/Argentina/Cordoba
Puerto Iguazú,Argentina,Misiones,3429777,America/Argentina/Cordoba
Puerto Esperanza,Argentina,Misiones,3429786,America/Argentina/Cordoba
Puerto Eldorado,Argentina,Misiones,3429790,America/Argentina/Cordoba
Posadas,Argentina,Misiones,3429886,America/Argentina/Cordoba
Pontevedra,Argentina,Buenos Aires,3429902,America/Argentina/Buenos_Aires
Pirané,Argentina,Formosa,3429949,America/Argentina/Cordoba
Pilar,Argentina,Buenos Aires,3429980,America/Argentina/Buenos_Aires
Paso de los Libres,Argentina,Corrientes,3430104,America/Argentina/Cordoba
Oberá,Argentina,Misiones,3430340,America/Argentina/Cordoba
Nogoyá,Argentina,Entre Rios,3430415,America/Argentina/Cordoba
Necochea,Argentina,Buenos Aires,3430443,America/Argentina/Buenos_Aires
Muñiz,Argentina,Buenos Aires,3430513,America/Argentina/Buenos_Aires
Morón,Argentina,Buenos Aires,3430545,America/Argentina/Buenos_Aires
Monte Caseros,Argentina,Corrientes,3430598,America/Argentina/Cordoba
Montecarlo,Argentina,Misiones,3430601,America/Argentina/Cordoba
Merlo,Argentina,Buenos Aires,3430697,America/Argentina/Buenos_Aires
Mercedes,Argentina,Buenos Aires,3430708,America/Argentina/Buenos_Aires
Mercedes,Argentina,Corrientes,3430709,America/Argentina/Cordoba
Haedo,Argentina,Buenos Aires,3430835,America/Argentina/Buenos_Aires
Mar del Plata,Argentina,Buenos Aires,3430863,America/Argentina/Buenos_Aires
Luján,Argentina,Buenos Aires,3430988,America/Argentina/Buenos_Aires
Los Polvorines,Argentina,Buenos Aires,3431057,America/Argentina/Buenos_Aires
La Plata,Argentina,Buenos Aires,3432043,America/Argentina/Buenos_Aires
La Paz,Argentina,Entre Rios,3432079,America/Argentina/Cordoba
Jardín América,Argentina,Misiones,3433349,America/Argentina/Cordoba
Ituzaingó,Argentina,Corrientes,3433360,America/Argentina/Cordoba
Hurlingham,Argentina,Buenos Aires,3433522,America/Argentina/Buenos_Aires
Gualeguaychú,Argentina,Entre Rios,3433658,America/Argentina/Cordoba
Gualeguay,Argentina,Entre Rios,3433663,America/Argentina/Cordoba
Goya,Argentina,Corrientes,3433715,America/Argentina/Cordoba
Gobernador Virasora,Argentina,Corrientes,3433753,America/Argentina/Cordoba
General Pacheco,Argentina,Buenos Aires,3433787,America/Argentina/Buenos_Aires
General José de San Martín,Argentina,Chaco,3433803,America/Argentina/Cordoba
Garupá,Argentina,Misiones,3433836,America/Argentina/Cordoba
Formosa,Argentina,Formosa,3433899,America/Argentina/Cordoba
Fontana,Argentina,Chaco,3433901,America/Argentina/Cordoba
Federal,Argentina,Entre Rios,3433956,America/Argentina/Cordoba
Esquina,Argentina,Corrientes,3434095,America/Argentina/Cordoba
El Soberbio,Argentina,Misiones,3434291,America/Argentina/Cordoba
El Palomar,Argentina,Buenos Aires,3434509,America/Argentina/Buenos_Aires
Don Torcuato,Argentina,Buenos Aires,3435010,America/Argentina/Buenos_Aires
Dolores,Argentina,Buenos Aires,3435038,America/Argentina/Buenos_Aires
Curuzú Cuatiá,Argentina,Corrientes,3435103,America/Argentina/Cordoba
Corrientes,Argentina,Corrientes,3435217,America/Argentina/Cordoba
Concordia,Argentina,Entre Rios,3435261,America/Argentina/Cordoba
Concepción del Uruguay,Argentina,Entre Rios,3435264,America/Argentina/Cordoba
Colón,Argentina,Entre Rios,3435352,America/Argentina/Cordoba
Colegiales,Argentina,Buenos Aires F.D.,3435356,America/Argentina/Buenos_Aires
Chascomús,Argentina,Buenos Aires,3435448,America/Argentina/Buenos_Aires
Chajarí,Argentina,Entre Rios,3435486,America/Argentina/Cordoba
Castelar,Argentina,Buenos Aires,3435607,America/Argentina/Buenos_Aires
Campana,Argentina,Buenos Aires,3435810,America/Argentina/Buenos_Aires
Buenos Aires,Argentina,Buenos Aires F.D.,3435910,America/Argentina/Buenos_Aires
Boedo,Argentina,Buenos Aires F.D.,3436003,America/Argentina/Buenos_Aires
Berazategui,Argentina,Buenos Aires,3436043,America/Argentina/Buenos_Aires
Bella Vista,Argentina,Buenos Aires,3436061,America/Argentina/Buenos_Aires
Belgrano,Argentina,Buenos Aires F.D.,3436077,America/Argentina/Buenos_Aires
Barranqueras,Argentina,Chaco,3436124,America/Argentina/Cordoba
Barracas,Argentina,Buenos Aires F.D.,3436134,America/Argentina/Buenos_Aires
Balcarce,Argentina,Buenos Aires,3436177,America/Argentina/Buenos_Aires
Azul,Argentina,Buenos Aires,3436199,America/Argentina/Buenos_Aires
Avellaneda,Argentina,Santa Fe,3436230,America/Argentina/Cordoba
Aristóbulo del Valle,Argentina,Misiones,3436287,America/Argentina/Cordoba
Zapala,Argentina,Neuquen,3832132,America/Argentina/Salta
Yerba Buena,Argentina,Tucuman,3832260,America/Argentina/Tucuman
Villa Regina,Argentina,Rio Negro,3832647,America/Argentina/Salta
Villa Paula de Sarmiento,Argentina,San Juan,3832653,America/Argentina/San_Juan
Villa Nueva,Argentina,Cordoba,3832662,America/Argentina/Cordoba
Villa María,Argentina,Cordoba,3832694,America/Argentina/Cordoba
Villa Dolores,Argentina,Cordoba,3832756,America/Argentina/Cordoba
Villa Constitución,Argentina,Santa Fe,3832778,America/Argentina/Cordoba
Villa Carlos Paz,Argentina,Cordoba,3832791,America/Argentina/Cordoba
Villa Ángela,Argentina,Chaco,3832811,America/Argentina/Cordoba
Villa Allende,Argentina,Cordoba,3832815,America/Argentina/Cordoba
Viedma,Argentina,Rio Negro,3832899,America/Argentina/Salta
Victoria,Argentina,Entre Rios,3832934,America/Argentina/Cordoba
Vera,Argentina,Santa Fe,3833027,America/Argentina/Cordoba
Venado Tuerto,Argentina,Santa Fe,3833062,America/Argentina/Cordoba
Veinticinco de Mayo,Argentina,Buenos Aires,3833112,America/Argentina/Buenos_Aires
Ushuaia,Argentina,Tierra del Fuego,3833367,America/Argentina/Ushuaia
Unquillo,Argentina,Cordoba,3833412,America/Argentina/Cordoba
Tres Isletas,Argentina,Chaco,3833794,America/Argentina/Cordoba
Tres Arroyos,Argentina,Buenos Aires,3833859,America/Argentina/Buenos_Aires
Trelew,Argentina,Chubut,3833883,America/Argentina/Catamarca
Termas de Río Hondo,Argentina,Santiago del Estero,3834502,America/Argentina/Cordoba
Tartagal,Argentina,Salta,3834601,America/Argentina/Salta
Tafí Viejo,Argentina,Tucuman,3834813,America/Argentina/Tucuman
Sunchales,Argentina,Santa Fe,3834971,America/Argentina/Cordoba
Santo Tomé,Argentina,Santa Fe,3835793,America/Argentina/Cordoba
Santiago del Estero,Argentina,Santiago del Estero,3835869,America/Argentina/Cordoba
Santa Rosa,Argentina,La Pampa,3835994,America/Argentina/Salta
Santa Lucía,Argentina,San Juan,3836194,America/Argentina/San_Juan
Santa Fe,Argentina,Santa Fe,3836277,America/Argentina/Cordoba
San Salvador de Jujuy,Argentina,Jujuy,3836564,America/Argentina/Jujuy
San Ramón de la Nueva Orán,Argentina,Salta,3836620,America/Argentina/Salta
San Rafael,Argentina,Mendoza,3836669,America/Argentina/Mendoza
San Pedro de Jujuy,Argentina,Jujuy,3836772,America/Argentina/Jujuy
San Nicolás de los Arroyos,Argentina,Buenos Aires,3836846,America/Argentina/Buenos_Aires
San Miguel de Tucumán,Argentina,Tucuman,3836873,America/Argentina/Tucuman
San Martín de los Andes,Argentina,Neuquen,3836951,America/Argentina/Salta
San Martín,Argentina,Mendoza,3836992,America/Argentina/Mendoza
San Luis,Argentina,San Luis,3837056,America/Argentina/San_Luis
San Justo,Argentina,Santa Fe,3837124,America/Argentina/Cordoba
San Juan,Argentina,San Juan,3837213,America/Argentina/San_Juan
San José de Jáchal,Argentina,San Juan,3837240,America/Argentina/San_Juan
San Jorge,Argentina,Santa Fe,3837441,America/Argentina/Cordoba
San Francisco,Argentina,Cordoba,3837675,America/Argentina/Cordoba
Catamarca,Argentina,Catamarca,3837702,America/Argentina/Catamarca
San Antonio Oeste,Argentina,Rio Negro,3837980,America/Argentina/Salta
Salta,Argentina,Salta,3838233,America/Argentina/Salta
Rufino,Argentina,Santa Fe,3838506,America/Argentina/Cordoba
Rosario,Argentina,Santa Fe,3838583,America/Argentina/Cordoba
Río Tercero,Argentina,Cordoba,3838793,America/Argentina/Cordoba
Río Segundo,Argentina,Cordoba,3838797,America/Argentina/Cordoba
Río Grande,Argentina,Tierra del Fuego,3838854,America/Argentina/Ushuaia
Río Gallegos,Argentina,Santa Cruz,3838859,America/Argentina/Rio_Gallegos
Río Cuarto,Argentina,Cordoba,3838874,America/Argentina/Cordoba
Río Ceballos,Argentina,Cordoba,3838902,America/Argentina/Cordoba
Rawson,Argentina,Chubut,3839307,America/Argentina/Catamarca
Rafaela,Argentina,Santa Fe,3839479,America/Argentina/Cordoba
Quitilipi,Argentina,Chaco,3839490,America/Argentina/Cordoba
Punta Alta,Argentina,Buenos Aires,3839982,America/Argentina/Buenos_Aires
Puerto Madryn,Argentina,Chubut,3840092,America/Argentina/Catamarca
Profesor Salvador Mazza,Argentina,Salta,3840259,America/Argentina/Salta
Presidencia Roque Sáenz Peña,Argentina,Chaco,3840300,America/Argentina/Cordoba
